	text
8775	kanqa sunquykipi manam achkiypi puriqchu kachkanki si no tutayaypi puriq manam dios taytachu sunquykipi kawsanman chayna kaptiykiqa si no diablom qampa sunquykipi kawsan porque ñuqanchikunapi cristo kawsaptinqa huklasi divayuqsi kanchik musuq vidayuqsi dios taytanchikpa palabranmi niwanchik kay san juan capítulo dos
8778	hanaq pachapi kaq taytaykichikta yupaychanankupaq tukuy atiyniyuq diostaytallayku gracias qammam kachun gracias qamman dios taytayku porque qammmi sapa punchaw chuya simiykita rimapayawankiku inaspa kallpanchuankiku mañakuyki yanapaykunikita kallpanchakuyniykita sunqullaykuta ya amado padre celestial sapa camapi
8779	manañam ñuqallayqa vecinoy mundano wañukuptinpas pampayninmanpas riniñachu ni velorionmanpas riniñachu porque yanqañataqmi contagiaykuwanman huchanwan nispa si chayna piensan kaspaykiqa achkim kanki pero cajón ukuman pakakurquq wasiyki uku cajón ukuman yaykurquq dios taytapa palabranqa ninmi patapim churana pirqapa hawanmanmi churana altumanmi
8781	paykuna imata qusuptiykipas mana tumaspayki oportunidadmi kanman evangeliomanta willaykunaykipaq chay sasachakuyninpa chawpinpim señormanta rimariwaq chay sasachakuyninpa vicionpa chawpinpim niwaq ama kayta ruraychu kay vicioqa apasunki wañuymanmi kay vicioqa apasunki sasachakuymanmi aylluykikunatam destruin
8784	chaypim ichaqa cuidakuna viciokunamanta chaypim ichaqa cuidakuna imamanpas trampaman wichiykunamanta dios taytapa palabranmi nin chaynapi allin ruwasqaykichikta llapa runa qawananpaq imanasqataq kay runaqa tomanchu seguramente hermanoñacha hermanochu kanki arí rimayta qallaykunki señor jesusmanta imanasqa
8786	runapaqchu aswanqa altoman churanapaqmi chaynapi wasipi kaqkunata achkinanpaq dios taytanchikpqa palabranmi tupaykachiwanchik tukuy imaman y kunami tupaykachichkan llapallan dios taytapi iñiqkunata mecheruman achkiyman lamparqaman chaynapi ñuqanchikunata dios
8788	ñawinchaykusunchik imakunam dios taytapa munasqan kasqanmanta kanmi khuyasqay uyariqllay diospa munasqan kaqkuna y kantaqmá dios taytapa mana munasqan kaqkunapas rurayninchik kaqkuna tukuymanta llalliqtaqa ñuqanchik runakunaqa dios taytapa
8790	dios taytapa palabranmi nin tayta diospa templon templontapas kikinpa palaciontapas tukuy ima ruray munasqantas rey salomon qispirqachisqa y dios taytam mañarqa taytanmatapuni kay templo rurasqa kananpaq y paymi
8792	pim aylluwan kuska kawsana wasi y chaymi dios taytapa palabran rimapayawanchik salomonsi dios taytapa templonta qispirqachisqa hinaspansi qispirqachispan tayta diosta mañakusqa taytaya kayqaya kamachiwasqayki kaqta qispirqachiniña nispa
8794	kayqaya kamachiwasqayki kaqta hispirqachiniña nispan y chaymi dios taytapa hukaqnin munaynincuando paypaq imatapas rurasun hinaspaqa siempre tayta diosta mañakuna pay tukuy ima rurayninchikpi yanapawanichpaq tukuy ima rurayninchikpi pay imapas allin kaq
8796	chaymi salomon templota qispirqachispa dios taytata mañakurqa qaqaya señor kamachiwasqayki kaqta qispiykachini nispa y vesículo doce nin tuta rikuriykuspansi tayta dios rimapayasqa salomonta kaynata nispa mañakuyniykitam uyariykuni
8798	rurasqanqa dios taytapa munasqanman hina kasqanta chaymi pay aprobaspan nirqa kay temploqa akllanim sacrificiokunata ofrecemuwanankupaq kay templom kanqa ñuqata yupaychamuwanankupaq kay templom kanqa qamkuna kay huñunakuspa kayman hamunaykichikpaq lugar y dios taytanchik
8800	qam rurayta munachkanki salomonmi templota ruranan y chaypaqmi dios taytata siempre mañakurqan qam mañakuchkankichu mozo sipas qammi munanki hamuq punchawpi estudiuyki ruraytam profesional kaytam hinaspayki qam yaqachu dios taytata consulta
8802	munanim kasarakuytam munanim taytay ya esposa quwanaykita o esposo quwanaykita yaqachu ñuqanchikkuna colsuntaykachiq yaqañachu ñuqanchikkuna colsuntaykachiq tayta ya churiwawayuqmi kayta munani nispa yaqachu consultaykunchachiq imapas rurananchipaq dios taytachipaq tuku ima ruranapaqpas
8804	dios taytanchiktam tukuy ima ruranapaqpas salomon hinam dios taytata consultana hinaptinmi pay munasqanman hina ruraptinchiqa paymi salomonta hina ninqa mañakusqaykitam uyariykuni nispa kaynam vidayki kanqa kaynatam qamwan rurasaq nispa manachum chay dios taytapa promesan
8806	hanwan rurasaq nispa manachum chay dios taytapa promesan chaymi dios taytapa munaynin iskay kaqpi versículo trece niwanchik chaynaqa usyarqachimusqayrayku mana paramuptin aqha ruraykunata kachaykamuptiy chakrapi kawsaykunata mikhurquptin utap peste unquykunata llaqtaman
8808	kaypim dios tayta rimapayachkan kay llaqtanta hinaptinmi kay llaqtan mientras que salomon templota rurasqan tiempopi llaqtañataq diosmanta karupi karqa llapa runañataq dios taytata qunqarqurqa llapa runañataq dios taytata qipanchakurqurqa manam karqachu dios tayta
8810	paykunapa vidanta allichaykuyman nispa chaymi dios taytapa munaynin ñuqanchik runakunaqa imapiña pantaruq kaspapas wawahina sunquyuqmi rikurikuna tayta diospa qayllanpi errorninchikuna riqsirikuqmi kana porque runaqa tukuypim dios taytata fallanchik hinaspanchikmi ñuqanchikkuna
8812	sanoyachisaq allpankutapas sanoyachisqa allpakuna dañasqa runapa huchanrayku allpakunam unqusqa runapa mana allin kawsayninrayku allpakunam unqusqa mana dios taytamanta yuyarisqanchikrayku y muchas veces tapukunchikraq runa ima tiempopiñataq kanchik
8814	cuentata qukunchu llapa runam kuyasqay uyariqllaykuna nin imanasqañataq kaynaña kay tiempo llamkasqanchikpas manañam aypanñachu qullqipas manañam aypanñachu aschallatam rantipakaykamuni achka qullqipa chaninta kayllapichu kay qullqiy tukurqun imapitaq rikukunchik
8816	kayllapichu kay qullqiy tukurqun imapitaq rikukunchik ima tiempopinñam kanchik manam imapaqpas qullqi qaypanñachu qhawaykunallam kasqa qullqiqa qapiykunallam kasqa qullqiqa yaku hinam pasarqun qullqiqa nispa sabes imanasqa es que dios taytam fallarqunchik manam diostaytaman agradecidochu kanchik malaqueaspa nisqanpi hina llumpay
8818	dios taytaman agradecidochu kanchik malaquiaspa nisqanpi hina llumpaytam dios taytata suwarqunchik dios taytatam dios taytata engañadonchik vendicionquwasqanchikwanpas más mezquinun rikurirqun más maqllam rikurirqun runa kapusqanman hina askallañam bolsilloykipi qullqi pero apuradolla tukurqun llamkanki tuta punchaw manañam puñuytapas tarinkiñachu
8820	ñuqam paypa allpanta sanoyaykachiyman hinaspaymi paypa huchankunata pampachaykuyman aun sano vidata huykuyman vidankuman aycha vidankuman kunallan kachkanchik tayta diospa corregisqan kunallan kachkanki warmaykikunapas sasachakuypi tarikun aycha cuerpoykipipas sasachakuypi tarikunki sabes que
8822	sutiy wiña wiñaypaq riksisqa kananpaq kay templotaqa qawaspaymi tukuy sunquywan nanachikusaq tukuy atiyniyuq dios taytallayk gracias qamman kachun tukuy sunquywanmi kunan punchaw agradecido qamman hamuni kay chuya simiykita ñawinchaykuspayku
8824	hanman hamuni kay chuya simiykita ñawinchaykuspayku qaymi taytaya kay chuya simiykita kunan punchawpaq churaykapuwarqnkiku llapallaykuyá kay qillqaykita ñawinchaykuniku hinaspa uyariykusaqku kay chuya simiykita manam runapa palabranchu sino taytaya hampa chuya kawsaq simiykim y llapallan
8826	turanchik modesto qaqay taraku llaqtamanta turachay allin punchaw kachun ima willakuy kay pacha paqariypi kachan
8828	allin punchaw kachun kunan punchaw chay radio onda azul allinta anchata sumaq wasipaq chaymanta qamkunapaq normita igualmente jaimipaq imaynallama kachkan jaime imaynallam kachkan normita kayqa paramanta parlarimuchkankichik chayqa
8829	buenos días paniy norma buenos días wawqiy jaime imaynallam turiy paulino kayqa munaytaña rikcharikusqanki kay pacha paqariypi quñillachu paqarisqanki turachay
8830	ama hina kanamanchu chaypaqmi qalarqun kay wak llaqtakunatawan afectakuchkan chaymantataqmi huchuyta para paraykun kay chupa llaqtapi chaymantataq ya chaymantaqa qasa qasaykarqapuchkallantaq chaymi llakikuy kachkallantaq huk punchawkunapiña kutiykamuchkasaq
8832	allinpunim wawqiy veleriano kaykamalla willakuykunawan intiwtanachik tawa tutamanta kimsa chunka yupayña hinatam puririrchkan kunan punchawpi munasqay uyariq wawqiy panakuna ñuqayku kutirimusaqku
8834	tawa tutamanta kimsa chunka suqtayuq yupayña tres de la mañana con trenta y seis minutos ñach wawqinchik juan chuqiwanka yatichiri payqa phawamuchkanña utqayllata kayqa saykuspa paninchis norma rimayninmantapas patapi qalluyuq chayamunqa wawqinchis yatichiri juan chuqiwanka paypaq ancha sumaq napaykuy
8836	cuatro de la mañana con treinta y siete minutos paniy norma piñam chayarimun kay onda azul rimanawasiman arí turachay jaime kayqa chhikaqa wakmanta napaykarisunchik ñañanchikkuna turanchikkuna hinallataq sipas waynakuna qachunkuna qataykuna awichitanchikkuna awichitunchikkuna kay pacha paqariypi munaytaña wakinqa chhikaraq rikcharikuchkanku paykunata napaykarispa
8838	turachay jaime kaypiña arí pitaq kachkan arí turachay qam manachu niriwaq imarayku kayqa ñuqata manacharichiwanmi pitaq mancharichisunki kay personam chayarqamusqa chay manam aqnata chanzarikuspam munayta payta qapiqarisunchik imarayku kayqa umalliq pay kachkan kay distrito de san antonio de esquilachi chiqanmanta turanchik blas acero sapan
8840	may kuraq wawqinchikkuna awichitukuna awichitakuna paykunapaq sumaq napaykuy kay pacha paqariypi willarikuy karichkan imaraykuchus kay cronograma kay trabajo qallaykun kay tractor agrícola puririchkanqa kay huk punchawmanta hasta kimsa punchawkama llamkarichkanqa fundición chiqanpi
8842	kallpacharisun kay llamkayta haqay san antonio llaqtapi kaqllataq karichkan kay willarikuy domingo tawa punchaw diciembre killata aparikunqa imachus kay primera piedra kay hina castilla misti simi rimaypi saneamiento básico kay proyecto churarikunqa kay comunidad centro cruzani chiqanpi
8845	y llamkachkanallanta kanallanta pikunachus kanku kay alcaldes achkam rantiyakapun kayqa kay kis de revocatoria kay proceso de revocatoria nisqa san antonio hapiymantaqa riqsikullantaq imaynataq kay puririn imaynataq kay tukukapun ima niriwaqtaq chaymanta waqiy
8847	kusataq imaraykum paykuna mañakurqanku kay proceso de revocatoria nisqata ima ninkutaq ichapas may ñuqayku may kallpacharikuyku kay llamkaywan chaykunataqa manam astawanpas qipaniriytam apamaun llaqtanchikpaq wawqillay kusataq chikaqa lamkaykunapas hunatrikullanmantaq utqayllata imaraykuchus runa masikunaqa
8849	maymaypi munanku maymaypi wakinkunataq kay cuestión política nisqapipas tarikullantaq achkham kay hina kawsaykuna llaqtakunapi kay perú suyupi riqsikun kay puno hapiypipas manam atikunchu allinpunim huk punchawkunakama tupakunanchikkama wawqiy wawqinchik antonio vela vela utqayllata willarikuy wawqichay intiwatananchik atiparqapuwasun imaynallam
8851	allin punchaw kachun wawqiy jaime panay norma qamkunapaq hatun marqaykuyta apamuchkani chiriwan kuska wayrawan kuska allinpunim bien waqyarikusaq mas que todo iskaynin lado ladopaq tanto zona qichwa tanto zona aymara
8853	kusataq allinpunim wawqiy antonio vela vela cuatro  de la mañana con cuarenta y dos minutos aymara llaqtapaq ancha sumaq napaykuy ima nintaq kayqa napaykuyta aparichikusaq nintaq kay santa rosa maso cruz chay llaqtapaq wawqinchik marcial chambilla muntalico paymi napaykarichkan hinallataq yawar masinkunapaqa ancha sumaq napaykuy
8855	chaymanta turanchik silverio mendoza paykunapaq ancha munay napaykuy kunan ichaqa turiy jaime cuatro de la mañana con cuarenta y tres minutos
8857	rimarimuchkasun imaymana kawsaykunamanta hinallataq waturiq puririsun imayna puririchakan kay chacra chiqan uywa michiy chaymantapas kay educación nisqapi imaynama kachkallantaq qhawarimusun imaynataq qarapa tarikuchkan kay provincia asangaro nisqapi chikaqa qarapa hapiyta kunan punchaw onda azul rimanawasi chayarichkanqa hinallataq tukuy minkarikusqa puririychik imaraykuchus misa nisqallanpas qallaykuchkallanqataq
8859	imaynalla allinllanchu allillan allillan wawqiy allillanmi tarikuchkani qumasti panay norma allin punchaw kachun  chhikaqa paywan rimarisun kay hinata paypas qichwa rimayta ña hapiqachkallanñataq
8861	kay hinata tukuykuchipuyk wakichiyta munasqay uyariq wawqipanakuna arapa haiypi rikurinakusun munayllata tuparisun runa masiykuna chikaniq kama
8863	maytaq kayqa turanchik paulino munayta waarikamuchkarqa kayqa chinkarqapun arí turachay jaime chhikanqa paypaq ancha munay uqllaykuy hinallataq napaykuy wawankunapaq maypichus arí kayqa kay arequipa llaqtapi hinallataq wakin chiqankunapi kachkan paykunapaq ancha munay napaykuy turachanchik paulino munayta arí kay pacha paqariypi rikcharikun tutamantaña hinaspa waqarikamun hatun uqllaykuy paypaq chikanaqa
8865	puni wawqinchik paulino puñurqapunchus imananataq paypaq ancha sumaq napaykuy hinallataqmi paypaq churaripusun kay takita
8867	las ultimas último rinconkunaman chayan wawqiy manam solamente kay puno rergiónllamanchu sino cuzco arequipa qalay chay purisqaykunapim wawqiy uyarimuykichik qamkunata hinaqa ñuqawanqa hukkamaña wawqiy kanqa
8869	mana walay ninkuman karqan kay serenazgo chaypi llamkaqkuna hinaqa o mana hampina wasiman rato apankumanchu karqan hinaqa wañukunmansi karqan kay hina chay feminicidio chaymansi riki lista chay ukupis tarikunman karqan astawan wak willakuykuna imachus kay hatun raymi candelaria peligro nisqapim kachkan imaraykuchus chaytam qichunkumam kay sutin karqan riki
8871	tukuy pikunachus tusukunki kay llameritos de canteria nisqata qamkunapaq ancha sumaq napaykuy hinallataq kay wayta pata hapiypipas kayqa yachahciqkunapaq tata mamakunapaq kayqa pikunachus pitanku pachakunata awanku kay llikllakunata munay llimphisqata kanchariqta kay mamakunapaqpas ancha sumaq napaykuy
8873	hinallataq pikunachus kay wapululu wapullus nisqa tusuyta hinallataq tukaykunta paykunapas munayta kayqa kawsachichkankuraq kay wayta pata chay ayllupi hinallataq wakin ayllukunapipas
8876	manam parapas kachkanchu llapanpi hina igualchu sino que kay taraku llaqtapi manam kanchu kunakama allin para qayna punchaw rinconada nisqa patan nisqa sutiyuq anchaypi manam pasaykusqachu qalay yuraq pamapa kapuchkan
8877	chaymantapas ayllukunapi kayqa kay cobertizo nisqata wayras aparqapun achkha ayllukunapi ninkutaq hinaqa para hamunqa hinaqa maymantaq uywata apaykusun ha chaykunapas allichana kachkantaq chikanqa runa masikuna minkarikuy wawqiy urbano ima willakuychu napaykuychu karichkan kay tutamantanpi
8879	ñuqam siempre napaykarikusaq kay provincia de san antonio de putina llaqtapi chay barrio san santiago gerardo inmaculada concepción chaymanta waqarimuchkayki kay napaykarisaq primer lugarta padrinoy juan ticona escarcena hinallataq madrinay valeriana tulpo chaymantataq huk padrinoyta napaykarikusaq juan juliam vargas
8881	chaymanata napaykarikusaq madrinay qunqarquni imanantaq chay madrinaypata qunqarquni sutinta sofia no madrinay sofia chaymanta napaykarisaq kay centro poblado san pablo de qalkani anchaypitaq tarikuchkan esposay elsita hinaspa wawaykuna kachkan joel jesus vargas jhon ulises deysi solema chaykuna allinallam tarikuchun chaymanta mamaitay kachkan centro poblado santa anapi diciembre killapi chayarqamunqañataq cumpleañon
8883	hayta jaime wawqiy jaime napaykusaq panay norma qamkunapaqpas sumaq napaykuy kallantaq maypi wawqiy jaime kapuwanki kunanqa pasyachkan chaqay chinantin llaqtakunapi nillankutaq porque qam pasyaq purichkarqanki turistamanta ninkutaq pitaq chayta nin niwayku kunan pacha
8886	llama quchakunata lluqsirqani chaqaya wankane llaqtata wankani chaqaya chayaykun fuerteta granizada pasaq semanata chaymanatapas kay chay chayachkarqataq maychus qalapuqa nikacio chaynakunata para sumaqta parasqa kay taraku llaqtapi imayraykukupunicha manam chayanchu para
8887	pananchik normaqa chaypiqa puntual hina atindichkawasnku kunan maypitaq paninchik niriñataq chikarqullantaq paypas vacación hurqurparipullanñataq riki wawqiy jaime ñacha kayman hina ukurqamullanqataq ñuqa manaña kasaq hina wawqiy allin allin allin punchaw kachun paykunapaqpas haykap chay radio onda azulpi trabajaq wawqiy panaykunapaq munayllatam paykuna tranbajakun educativopi punchaw chunka de la mañana chaykunatapas qumun pasaq mamaytam chay wawakunapa despiertanampaq hina
8889	tata mamakuna imaynatach idea wawakunapaqpas kanan maypichus educación escuelallapichus utaq wasipiwanchus educación qala pasaq yachaqanapaq hinam chayrikuy pasqta gustawan kay radio onda azul educativa kaqmanta más gustawan porque manam wak radiokuna hinallataq kallataq waqiy jaime aqnapunim wawqiy chaymi huk rimanawasipa chiqap llamkayninqa manam takikuna churayllachu
8891	manam chansakuyllachu imaraykuchus kayqa rimanwasi imaymana kawsaypi yanapanan kayqa runa masinchikkunata hina mistikunata hina wakcha runa masinchikkunata hina kayqa ayllu runa masikunata llaqta runakunata tukullaypaq allinpunim wawqiy urbano huk punchawkunapiña aswan rimarisun kawsayninchikkunamanta
8893	qampaqpas wawqiy jaime panay norma huk punchawkunakama tupakunanchikkamaña tupakunanchikkamaña puno llaqtata hamunki hina waturikamuwanki kay onda azul rimanawasiman kayqa imaraykuchus kayqa maymaypi riqsinakunchik kunkachikkllamanta ichaqa mana riqsinakunchikchus arí panay norma kay runakama qawanakuspa ha ñawinchikta qawankuspa kama
8895	ñañachay imam sutiyki kachkan aurelia ñañay aurelia kayqa imallatam kay pacha paqariypi munaytaña ruraykuchkanki tutamanta rikcharikuspa ukuchkaniña munayta pay huchuyllata hina rimarirqamun ñañay pikunapaq chhikaqa kay pacha paqariypi ancha munay napaykuy arí
8897	imaniriwaqtaq chhika paypaq punchawninpi arí ñañachay
8899	imam sutichan kachkan mamitaykita
8902	kunanpas chayachkanpunitaqmi pero chinni tariyta manam imanachkanpaschu tutataq yanqata huqurin punchawtaq chakirqapun manam kanchu kunankama kinwa manam kanchu imapaq sembrio kanchu huk pacha watakunaqa kunan punchaw hinakunapiqa
8903	ima takiyta un banda de ichuña y un tema de angelito vaguardo mi chalinita ajá allinpuni ñañachay huk tutamanta kunankama ñañay aurelia allinpuni waqarikamunki
8905	qichwa rimayninchik la voz quechua
8907	kunanmi tarikuchkanchik huk punchaw kay diciembre killapi kay iskay waranqa chunka suqtayuq watapi año de la consolidación del mar de grau kay killa tukukuykamalla kay kamachiypas wawqiykuna panaykuna kaypiña willakuykuna ichaqa ñawpaqpi panay norma allin punchaw kachun imaynallam
8909	tawa tutamanta suqta yupayniyuqña kaypiña willakuykuna chikaqa utqayllata qallaykusun chayarispa haqay juliaca hapiykama imayna juliaca paqarikuchkan wawqiykuna panaykuna rimarimunku kay ministerio del interior chiqanmanta pacha imaraykuchus huk qillqaypim paykuna riqsirichikamunku kay ministerio de linterior chiqanmanta pacha yacharichikamuspa imaraykuchus kanman kay cartera ministerial chiqanmanta pacha huk umalliq kay carlos basombrio
8911	kay penales de yana mayu hinallataq juliaka chay chiqanpi kay suwa runakuna yawar masinkuna chayamuspa kayqa wiñaykachinku mana allin kawsayta kay iskay llaqtapi nispan paykuna aqnata sayarichillarqanku ichaqa ruphaykachipunku kay machanawasikunata hinallataqsi kanmansi kay propiedad pública chaykunata qhawarispas lluqsirichimunku kay estado de emergencia nisqata
8913	kunantaqmi manam kayqa wakin punchawkunapi hinachu puririkunku llaqta masikuna haqay juliaca hapiypi nitaqmi ima huñukuypas rimanakuypas kanchu kay hina willakuymi karichkan juliaca llaqtamanta pacha tawa tutamanta pusaq yupayniyuqña cuatro de la mañana con ocho minutos cuatro de la mañana con ocho minutos aswan willakuykunawan puririsun kay qichwa rimayninchik wakichiypi wawqinchik wilber muñoz rinconada quri llamkana chiqanmantapacha willakuykunawan wawqiy allin punchaw kachun imaynallam
8916	llapa qumirñam kachkaq chay tarpusqayku chayamunqam kayqa musuq wata musuq watipiqa qumirñam chay rinconadaqa kanqa kuna mana kanchu papapas imapas mamam kanchu manam kanchu ni kinwa ni habas ni uqa ni papa manam kanchu
8917	paymi kayqa ancha llakisqa rimarimun chikaqa imarayku kayqa ancha munayta para pararinman hinaqa kusata munayta paykuna arroztapas tarpurinkuman arí kay pacha paqariypi kunan ichaqa turichay wilber muñoz pay rimarimunqa haqay rinconada llaqtamanta pacha turay kunan ichaqa rimarimuy ima willakuy haqay llaqtamantapacha allin punchaw kachun
8919	allin punchawlla paniy norma wawqiy jaime chayqa riki kaypiñam willarikuy a ver qayna paqarinmi a ver mineruta arí qaqa cinco hapirqamusqa chaqay a ver may chiqaspi chaqay santa maria parte alta nisqapi chayqa riki pichqa horas tutamantam riki huk hatun abalancha nieve glacial nisqa walayarqamuspataq riki apirqapusqa
8921	chay chiqanpitaqmi puriykuchkarqan pallatyakuq chaymi aparqachikapusqa chaypim riki wañarqachipusqa umallanmanta taqrasqa pacha chaytam riki taririrmusqaku a ver runakuna chaykunapi puriqkuna noticiamantataq willarikamusqataq riki chaymanta las onde de la mañanataraqmi purinku a ver del policial chaypim riki aparikamun diligencia levantamiento de cadáver chayqa riki pim ordenninpim fiscal roberto ochoa romero
8923	paymi riki a ver kamarichikamun yaqa huk horasta chaymantataqmi aparqamunku cadáverta a ver mayman centro de saludman chaypim riki wañusqa kachakan mana sutiyuq mas o menos tawa chunka watayuq kanman nispataq aver qawarinku wiraqucha policíakunapas paykunapas chayqa riki chaytam a ver willarikamunku a ver imaynachu
8925	kaykuna sucederichkan nispataq a ver rimarimuy kaykuchkan chaymantapas qayna chisi a ver qanchis horas tutaykuyta ñam tarillankutaq a ver huk upyasqa runa apaykuchkasqa a ver imata autota chayqa pasqta muyu muyurichispa chaypim riki paykuna hapirqunku policiakuna chaypa sutinmi javier efrain mamani mamani paytam detenerqunku
8927	paykuna hapirusqaku chaytam riki inmediatamente churanku paymi riki kachkanman inmerso al peligro común y seguridad pública chay delitota payqa cometerqusqa nispataq a ver policiakuna willarikamun qamkunapaq kay qichwa rimayninchikpaq kay rinconada hapiymanta pacha allin punchaylla qamkunawan
8930	wakin wawqiykuna panaykuna tarpuykamunku hina chakhipi manam hamunchu para hina chayllam willarikuy llakisqam kay taraku llaqtapi kachkayku
8931	tawa tutamanta chunka kimsayuq yupayña tawa de la mañana con chunka kimsaniyuq minutos tawa tutamanta chunka kimsayuq yupayña hina kawsaykuna chhikanqa karichkana llaki mana tukukunchu kay rinconada chay chiqanpi aswan willakuykunawan puririsun munasqay uyariq wawqiy panakuna kunantaq imayna kawsaykuna purichkallantaq kay puno suyunchikpi wawqiykuna paniykuna
8933	nirisunmanchari kay asangaro hinallataq san antonio de putina chay chiqanpi kay qipa punchawkunapi aqnatam kaykuna puririchkan chikaqa chaypitaq pikunataq karichkan ukurisqa hapisqa kay runakuna kay rober felipe arqueiniba de la cruz pichqa chunka hukniyuq watayuq hinallataq ronald valentin wakirqa pacori tawa chunaka suqtayuq watayuq hinallataq huk paninchik nelida cruz apasa kimsa chunka watayuq
8935	paykunam kanku haqay masuku chiqanmanta juliacaman hamuchkaspa hinallataqmi paykunapi karqan kay hina llasayniyuq kay quri oro nisqa chaymi taripasqa chhikaqa kay novecientos cincuenta y nueve punto doce gramos de oro kay hina wawqiykuna panaykuna maymanta apamunku imaynatam paykuna huñumunku chaykunatacha tapunku kay policía nisqakuna
8937	haqay putina chay chiqanpi tawa tutamanta chunka pichqayuq yupayña cuatro de la mañana con quince minutos wawqinchik cesilio zalgado haqay putina llaqtamanta imaynallam wawqiy allin punchaw imaynallam wawqiy jaime paniy norma allin punchaw qamkunapaq hinallataq kay wawqi pananchikkunapaq kay región puno de putina hapiypaqpas kay llakikuymi kakuchkan sapa punchaw hina manataq kanchu parapas allintachu para chayarichkan
8939	manam kapuchkanchu unu kay campo lawkunapi hinallataq kay llaqta kikinpipas chaymi huk llakikuy hina kay putinapi kachkan chaytataq kay wiraqucha autoridadkuna manam qhawarinchu tiempowanpacha kay pasaq alcaldekunapas manam chayta valechiqchu kasqaku chaykunam kachkan llakikuy wawqiy jaime huk ladomantataq kay hatun taytanchik reverendo padre pio rios villasante wakirichichkan munaytam kay arapa ladoman kunan punchaw hamuykuchkanqaku imata qunqaku
8941	chaypi kunan punchaw reverendo padre marcos degueduglen llevarichkanqa kay ordenación sacerdotal nisqata pichqa chunka wataña pay sacerdote padre chayqa karqam putinapipas llamkaq kasqa payqa kay waranqa mil novecientos sesenta y nueve  a  mil novecientos setenta y tres hinallataqmi payqa imaymana yachachiykunata allinta rurarqan kay distrito ladomanta hinallataq kay wakichikuy acción social nisqatapas rurarirqanmi kay putinapi
8943	hasta callekunapas paypa sutin sutiyuq reverendo padre marcos deguem hinallataq kay salón comunal nisqa karqa ñawpaq kunanmi coliseo kapun chaypas reverendo padre marcos deguem duglen payqa ruraykuchkasqa munay obrakunata chay putina hapiypi hinallataqmi agua desagÃ¼etapas ruwarichichkasqa chaynallataqmi kay padre pío munayta llamkarichkan kay misionerokunawan paykuna hamuykunqaku
8946	kay hinata chikaqa munayta kay putina llaqtamanta pacha turanchik cesilio salgado pay willarikamuchkarqa kunan maykam puririllasuntaq kay tinkupalkakama maypichus turanchik cipriano pay willarikamunqa turachay kayqa ima willarikuy kay llaqtamanta pacha kachkan turiy allin punchaw kachun panay norma allin punchaw kachun turay jaimito kay imaymana kay tiempo paltaqtaqmi kachkan may manam para parapuchkanchu qasallam qasaykuchkan
8948	a veces puyu puyurimun wasyra aparqarqapun pacha kay tinkopalka llaqtapi kachkan institución educativas secunadaria agropecuaria tinkupalka chaypi qayna huk paytaraq atipanakunku alcalde escolarqa kanankupaq hina huk estudiante yachaqqa atiparqapun sutinmi
8950	ofelia charles mita chay señorita pasñachalla atiparqapun y kimsa lista pacha presentakunku huk listapiqa jacobo tito sulca nispa chay huk jovincha presentakun ñuqa atipasaq nispa chaymanta huktaq yasmina lucero upaso benavente también chaypas yanqa atipanakunku supaytaraq
8952	chaykuna kachkan chaymanta wak willakuykuna kachkallantaq chay carretera ñan mana allintachu ruwan may na kay chakra wachu hinam kachkan tinkupalka llaqtaman chayanapaq chaykunatam manam kay autoridades puneños yuyarinkuchu chaykuna willakuykuna kachkan kay tinkupalka llaqtapi
8954	chaymantapas nirisunmanchari wawqiykuna panaykuna kay huñukuypi kallantaqmi kay foro empresarial ha chaymanta rimarillanqakutaq imaynam kayqa waranqa pachak umalliqkuna ejecutivos nisqa hinallataq runa masikuna umalliqkunapas purillankutaq kay perú suyunchikmanta
8956	kay hinata paykuna chikaqa rimanarikuchkarqanku qaynam qallaykun kaykuna hinaspa rimarinqaku chhikaqa kay ayllu chiqaykunamanta imaynatam ñawpaqman puriyman hinallataq kay qullqi niraypi kay perú perú suyunchik imaynataq wiñarillanmantaq tawa tutamanta iskay chunka iskayniyuq yupayña paniy norma kunantaq utqayllata puririllasuntaq kay ar vila vila hapiykama chaymanta wawqinchik arnaldo puma allin punchaw kachun imaynalla
8958	aqnapunim manam kayqa sapanka ayllukunapichu parapas pararillantaq chayqa chiqappunim karichkan may maypi llaqta chiqanllanpim parapas pararqapullantaq ha maypichus parata mañakuchkanchik manam chay chiqanpi kanchu ichaqa ñach hamunqaña suyarikusun hinallataq mañarikullasuntaq kay yakumanta unumanta panallay
8959	allillam panachay jaimito willarikuy kachkan kay vela vela llaqtamanta hatun willarikuy imaraykuchu kay distrito de vela vela entero mochibay angaray kaypa distritollam an distrito de vela velamanta puriykurqam kurqanku rurasqam karqan kay huk convenio nisqa convenyuchu mana sino rimarinapaq kay ukuyri llaqtapi
8961	ya qallariykun lunes punchawta medio ambiente nisqawan anchaypi chayarimunku minsa minam digesa digesa manam chayarqamunchu brilla por su ausencia nispa niyunku no diresa corepuno oefa ana osinermi manallataq chayarqamunchu senasa gore anchaykuna
8963	entonces anchaykunam chayqa chayarqamun hinaspa chay mesa de trabajo nisqata arí aparikuna martes punchawta imataq kanan karqa kay responsabilidad social piwanñataq pikunawanñataq chay punchawpi exclusivamente kay minera adontani nisqawan kay minera adontani aswan burlakun manam chayarqamunchu mayqintaq kay chay gerente general lunes punchawtaqa arí kachkarqa
